,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,FENOLDOPAM MESYLATE INJECTION USP 10 MG (BASE)/ML PACKAGED IN 10 MG (BASE)/1 ML AND 20 MG (BASE)/2 ML SINGLE-DOSE AMPULES,PHARMAFORCE INC.,CORLOPAM INJECTION,12/1/2003,
2,AMIODARONE HYDROCHLORIDE TABLETS 300 MG,TARO PHARMACEUTICAL INDUSTRIES LTD.,AMIODARONE HCL TABLETS,12/2/2003,
3,AMOXICILLIN TABLETS FOR ORAL SUSPENSION USP 600 MG,RANBAXY LABORATORIES LIMITED,AMOXIL FOR ORAL SUSPENSION,12/4/2003,
4,BETAMETHASONE DIPROPIONATE CREAM USP (AUGMENTED) 0.05% (BASE),TARO PHARMACEUTICALS USA INC.,DIPROLENE AF CREAM (AUGMENTED),12/9/2003,
5,BETAMETHASONE DIPROPIONATE CREAM USP (AUGMENTED) 0.05% (BASE),CLAY-PARK LABS INC.,DIPROLENE AF CREAM (AUGMENTED),12/9/2003,
6,BETAMETHASONE DIPROPIONATE CREAM USP (AUGMENTED) 0.05% (BASE),ALTANA INC.,DIPROLENE AF CREAM (AUGMENTED),12/9/2003,
7,MIRTAZAPINE ORALLY DISINTEGRATING TABLETS 15 MG AND 30 MG,BARR LABORATORIES INC.,REMERON SOLTAB ORALLY DISINTEGRATING TABLETS,12/17/2003,
8,METOLAZONE TABLETS USP 5 MG AND 10 MG,EON LABS INC.,ZAROXOLYN TABLETS,12/19/2003,
9,METOLAZONE TABLETS USP 2.5 MG,EON LABS INC.,ZAROXOLYN TABLETS,12/19/2003,
10,CEFACLOR TABLETS (CHEWABLE) 125 MG 187 MG 250 MG AND 375 MG,RANBAXY LABORATORIES LIMITED,CECLOR FOR SUSPENSION,12/22/2003,
11,BUTALBITAL ACETAMINOPHEN AND CAFFEINE TABLETS USP 50 MG/750 MG/40 MG RESPECTIVELY,MIKART INC.,ESGIC-PLUS TABLETS,12/23/2003,
12,NORGESTIMATE AND ETHINYL ESTRADIOL TABLETS 0.180 MG/0.035 MG 0.215 MG/0.035 MG 0.250 MG/0.035 MG PACKAGED AS A TRIPHASIC REGIMEN (28-DAY CYCLE),BARR LABORATORIES INC.,ORTHO TRI-CYCLIN TABLETS,
