,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,SILDENAFIL INJECTION10 MG/12.5 ML (0.8 MG/ML),AUROBINDO PHARMA LTD.,REVATIO INJECTION,4/1/2015,
2,TRIAMCINOLONE ACETONIDE TOPICAL AEROSOL USP0.147 MG/G,PERRIGO UK FINCO LTD.,KENALOG SPRAY,4/13/2015,
3,NEBIVOLOL TABLETS2.5 MG5 MG10 MG20 MG,AMERIGEN PHARMACEUTICALS LTD.,BYSTOLIC TABLETS,4/16/2015,
4,GLATIRAMER ACETATE INJECTION20 MG/ML; PACKAGED1 ML PREFILLED SYRINGE,SANDOZ INC.,COPAXONE INJECTION 20 MG/ML,4/16/2015,
5,FLUOROURACIL CREAM USP0.5%,SPEAR PHARMACEUTICALS,CARAC CREAM,4/20/2015,
6,VARDENAFIL HYDROCHLORIDE ORALLY DISINTEGRATING TABLETS10 MG (BASE),WATSON LABORATORIES INC.,STAXYN ORALLY DISINTEGRATING TABLETS 10 MG,4/22/2015,
7,ARIPIPRAZOLE TABLETS2 MG5 MG10 MG15 MG20 MG30 MG,TORRENT PHARMA INC.,ABILIFY TABLETS,4/28/2015,
8,ARIPIPRAZOLE TABLETS 2 MG 5 MG 10 MG 15 MG 20 MG 30 MG,ALEMBIC PHARMACEUTICALS LTD,ABILIFY TABLETS,4/28/2015,
9,ARIPIPRAZOLE TABLETS 2 MG 5 MG 10 MG 15 MG 20 MG 30 MG,HETERO LABS LTD,ABILIFY TABLETS,4/28/2015,
10,ARIPIPRAZOLE TABLETS 10 MG,TEVA PHARMACEUTICALS USA,ABILIFY TABLETS,4/28/2015,
11,ARIPIPRAZOLE TABLETS 2 MG 5 MG,TEVA PHARMACEUTICALS USA,ABILIFY TABLETS,4/28/2015,
12,ARIPIPRAZOLE TABLETS 15 MG 20 MG 30 MG,TEVA PHARMACEUTICALS USA,ABILIFY TABLETS,4/28/2015,
13,ARIPIPRAZOLE TABLETS 2 MG 5 MG 10 MG 15 MG 20 MG 30 MG,TORRENT PHARMA INC.,ABILIFY TABLETS,4/28/2015,
