,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,LEVONORGESTREL AND ETHINYL ESTRADIOL TABLETS USP0.15 MG/0.03 MG,WATSON LABORATORIES INC.,SEASONALE TABLETS 0.15 MG/0.03 MG,9/6/2006,
2,LOPERAMIDE HYDROCHLORIDE AND SIMETHICONE TABLETS (OTC)2 MG/125 MG,RANBAXY LABORATORIES LIMITED,IMODIUM ADVANCED CAPLETS (OTC),9/6/2006,
3,TOPIRAMATE TABLETS25 MG100 MG AND200 MG,MYLAN PHARMACEUTICALS INC.,TOPAMAX TABLETS,9/11/2006,
4,DILTIAZEM HYDROCHLORIDE EXTENDED-RELEASE CAPSULES USP(ONCE-A-DAY DOSAGE)120 MG180 MG240 MG300 MG360 MG AND420 MG,K V PHARMACEUTICAL COMPANY,TIAZAC EXTENDED-RELEASE CAPSULES,9/12/2006,
5,PREDNICARBATE CREAM 0.1% (EMOLLIENT)0.1%,ALTANA INC.,DERMATOP EMOLLIENT CREAM 0.1%,9/19/2006,
6,CAFFEINE CITRATE INJECTION USP20 MG/ML;PACKAGED IN 60 MG/3 MLSINGLE-DOSE VIALS,PHARMAFORCE INC.,CAFCIT INJECTION,9/21/2006,
7,CAFFEINE CITRATE ORAL SOLUTION USP20 MG/ML; PACKAGED IN60 MG/3 ML VIALS,PHARMAFORCE INC.,CAFCIT ORAL SOLUTION,9/21/2006,
8,FAMOTIDINE TABLETS USP (OTC)20 MG,DR REDDY'S LABORATORIES LIMITED,PEPCID AC TABLETS 20 MG,9/25/2006,
9,FAMOTIDINE TABLETS USP (OTC)20 MG,PERRIGO R&D COMPANY,PEPCID AC TABLETS 20 MG,9/25/2006,
10,BALANCED SALT SOLUTION (STERILE IRRIGATION SOLUTION),AKORN INC.,BSS STERILE IRRIGATING SOLUTION,9/27/2006,
