,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,AZITHROMYCIN OPHTHALMIC SOLUTION1%,SANDOZ INC.,AZASITE OPHTHALMIC SOLUTION,,
2,FLUOXETINE TABLETS USP10 MG15 MG AND20 MG,TEVA PHARMACEUTICALS USA,SARAFEM TABLETS,2/3/2014,
3,PRIMAQUINE PHOSPHATE TABLETS USP26.3 MG (15 MG BASE),ALVOGEN INC.,PRIMAQUINE TABLETS,2/3/2014,
4,PRAMIPEXOLE DIHYDROCHLORIDE EXTENDED-RELEASE TABLETS0.375 MG0.75 MG1.5 MG2.25 MG3 MG3.75 MG AND4.5 MG,ANCHEN PHARMACEUTICALS INC.,MIRAPEX ER EXTENDED-RELEASE TABLETS,2/6/2014,
5,KETOROLAC TROMETHAMINE OPHTHALMIC SOLUTION0.45%,AKORN INC.,ACUVAIL OPHTHALMIC SOLUTION,2/10/2014,
6,IBANDRONATE SODIUM INJECTION1 MG (BASE)/ML;PACKAGED IN 3 ML SINGLE-DOSE VIALS,SUN PHARMACEUTICAL INDUSTRIES LTD.,BONIVA INJECTION,2/14/2014,
7,MOXIFLOXACIN HYDROCHLORIDE TABLETS400 MG (BASE),TEVA PHARMACEUTICALS USA,AVELOX TABLETS,2/18/2014,
8,RIFABUTIN CAPSULES USP150 MG,LUPIN LIMITED,MYCOBUTIN CAPSULES,2/24/2014,
9,TELMISARTAN AND HYDROCHLOROTHIAZIDE TABLETS USP40 MG/12.5 MG80 MG/12.5 MG AND80 MG/25 MG,MYLAN PHARMACEUTICALS INC.,MICARDIS HCT TABLETS,2/25/2014,
10,TELMISARTAN AND HYDROCHLOROTHIAZIDE TABLETS USP40 MG/12.5 MG80 MG/12.5 MG AND80 MG/25 MG,ALEMBIC PHARMACEUTICALS LIMITED,MICARDIS HCT TABLETS,2/25/2014,
11,TELMISARTAN AND HYDROCHLOROTHIAZIDE TABLETS USP40 MG/12.5 MG80 MG/12.5 MG AND80 MG/25 MG,TORRENT PHARMACEUTICALS LIMITED,MICARDIS HCT TABLETS,2/25/2014,
12,DUTASTERIDE AND TAMSULOSIN HYDROCHLORIDE CAPSULES0.5 MG/0.4 MG,ANCHEN PHARMACEUTICALS INC.,JALYN CAPSULES,2/26/2014,
