,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,TIAGABINE HYDROCHLORIDE TALBETS2 MG AND4 MG,SUN PHARMACEUTICAL INDUSTRIES LTD.,GABITRIL TABLETS,11/4/2011,
2,LEVOCETIRIZINE DIHYDROCHLORIDE ORAL SOLUTION0.5 MG/ML,SYNTHON PHARMACEUTICALS INC.,XYZAL ORAL SOLUTION 0.5 MG/ML,11/7/2011,
3,MORPHINE SULFATE EXTENDED-RELEASE CAPSULES USP20 MG30 MG50 MG60 MG80 MG AND100 MG,WATSON LABORATORIES INC.,KADIAN CAPSULES,11/10/2011,
4,EPROSARTAN MESYLATE TABLETS400 MG (BASE) AND600 MG (BASE),MYLAN PHARMACEUTICALS INC.,TEVETEN TABLETS,11/16/2011,
5,IMIPENEM AND CILASTATIN FOR INJECTION USP (I.V.)250 MG/250 MG (BASE) AND500 MG/500 MG (BASE),HOSPIRA INC.,PRIMAXIN FOR INJECTION (I.V.),11/16/2011,
6,IMIPENEM AND CILASTATIN FOR INJECTION USP (I.V.)500 MG/500 MG (BASE)PACKAGED IN SINGLE-DOSEINFUSION BOTTLES,HOSPIRA INC.,PRIMAXIN FOR INJECTION I.V.,11/16/2011,
7,LAMIVUDINE TABLETS150 MG AND300 MG,AUROBINDO PHARMA USA INC.,EPIVIR TABLETS,11/17/2011,
8,PHENYLBUTYRATE TABLETS500 MG,AMPLOGEN PHARMACEUTICALS LLC,BUPHENYL TABLETS,11/18/2011,
9,CARBOPLATIN INJECTION10 MG/ML; PACKAGED IN1000 MG/100 MLPHARMACY BULK PACKAGES,ONCO THERAPIES LIMITED,PARAPLATIN INJECTION,11/23/2011,
10,GUAIFENESIN EXTENDED-RELEASE TABLETS (OTC)600 MG,PERRIGO R&D COMPANY,MUCINEX EXTENDED-RELEASE TABLETS,11/23/2011,
11,ENOXAPARIN SODIUM INJECTION USP100 MG/ML; PACKAGED IN300 MG/3 MLMULTIPLE-DOSE VIALS(WITH PRESERVATIVE),SANDOZ INC.,LOVENOX INJECTION,11/28/2011,
12,ATORVASTATIN CALCIUM TABLETS10 MG (BASE)20 MG (BASE)40 MG (BASE) AND80 MG (BASE),RANBAXY LABORATORIES LIMITED,LIPITOR TABLETS,11/30/2011,
