,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,MALATHION LOTION USP0.5%,SYNERX PHARMA LLC,OVIDE LOTION 0.5%,3/6/2009,
2,APRACLONIDINE OPHTHALMIC SOLUTION USP0.5% (BASE),AKORN INC.,IOPIDINE OPHTHALMIC SOLUTION 0.5%,3/12/2009,
3,LIOTHYRONINE SODIUM TABLETS USP5 MCG25 MCG AND50 MCG,COASTAL PHARMACEUTICALS,CYTOMEL TABLETS,3/20/2009,
4,LEVALBUTEROL INHALATION SOLUTION USP (CONCENTRATE)0.25% (1.25 MG/0.5ML),DEY LP,XOPENEX INHALATION SOLUTION (CONCENTRATE),3/20/2009,
5,IBUPROFEN CAPSULES200 MG (LIQUID FILLED CAPSULE)(OTC),BANNER PHARMACAPS INC.,ADVIL LIQUI-GELS CAPSULES,3/24/2009,
6,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,TEVA PHARMACEUTICALS USA,TOPAMAX TABLETS,3/27/2009,
7,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,ZYDUS PHARMACEUTICALS USA INC.,TOPAMAX TABLETS,3/27/2009,
8,TOPIRAMATE TABLETS25 MG50 MG AND100 MG,UNICHEM LABORATORIES LIMITED,TOPAMAX TABLETS,3/27/2009,
9,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,AUROBINDO PHARMA LIMITED,TOPAMAX TABLETS,3/27/2009,
10,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,INVAGEN PHARMACEUTICALS INC,TOPAMAX TABLETS,3/27/2009,
11,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,SUN PHARMACEUTICAL INDUSTRIES LTD.,TOPAMAX TABLETS,3/27/2009,
12,TOPIRAMATE TABLETS25 MG100 MG AND200 MG,BARR LABORATORIES INC.,TOPAMAX TABLETS,3/27/2009,
13,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,ROXANE LABORATORIES INC.,TOPAMAX TABLETS,3/27/2009,
14,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,GLENMARK GENERICS LIMITED,TOPAMAX TABLETS,3/27/2009,
15,TOPIRAMATE TABLETS25 MG50 MG100 MG AND 200 MG,COBALT LABORATORIES,TOPAMAX TABLETS,3/27/2009,
16,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,APOTEX INC.,TOPAMAX TABLETS,3/27/2009,
17,TOPIRAMATE TABLETS25 MG50 MG100 MG AND 200 MG,MYLAN PHARMACEUTICALS INC.,TOPAMAX TABLETS,3/27/2009,
18,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,CIPLA LIMITED,TOPAMAX TABLETS,3/27/2009,
19,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,PAR PHARMACEUTICAL INC,TOPAMAX TABLETS,3/27/2009,
20,TOPIRAMATE TABLETS25 MG100 MG AND200 MG,RANBAXY LABLRATORIES LIMITED,TOPAMAX TABLETS,3/27/2009,
21,TOPIRAMATE TABLETS25 MG50 MG100 MG AND200 MG,TORRENT PHARMACEUTICALS LIMITED,TOPAMAX TABLETS,3/27/2009,
22,DROSPIRENONE AND ETHINYL ESTRADIOL TABLETS3 MG/0.02 MG(28-DAY REGIMEN),BARR LABORATORIES INC.,YAZ TABLETS,3/30/2009,
23,CARBAMAZEPINE EXTENDED-RELEASE TABLETS USP100 MG200 MG AND400 MG,TARO PHARMACEUTICALS USA INC.,TEGRETOL-XR TABLETS,3/31/2009,
