,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,BIVALRUDIN FOR INJECTION250 MG/VIAL;PACKAGED IN SINGLE-USEFLIP-TOP VIALS,HOSPIRA INC.,ANGIOMAX FOR INJECTION,,
2,AZACITIDINE FOR INJECTION100 MG; PACKAGEDIN SINGLE-USE VIALS,DR. REDDY'S LABORATORIES LIMITED,VIDAZA FOR INJECTION,9/16/2013,
3,CAPECITABINE TABLETS USP150 MG AND500 MG,TEVA PHARMACEUTICALS USA,XELODA TABLETS,9/16/2013,
4,GANCICLOVIR INJECTION50 MG/ML; PACKAGED IN500 MG/10 MLSINGLE-DOSE VIALS,PHARMAFORCE INC.,CYTOVENE-I.V.,9/18/2013,
5,NITROGLYCERIN LINGUAL SPRAY400 MCG/SPRAY; PACKAGED IN60 AND 200 METERED SPRAYCONTAINERS,PERRIGO ISRAEL PHARMACEUTICALS LTD.,NITROLINGUAL PUMPSPRAY,9/20/2013,
6,HYDROCORTISONE BUTYRATE CREAM (LIPOPHILIC)0.1%,GLENMARK GENERICS LIMITED,LOCOID LIPOCREAM,9/27/2013,
7,BUDESONIDE INHALATION SUSPENSION0.25 MG/2 ML0.5 MG/2 ML AND1 MG/2 MLSINGLE-USE AMPULESFOR INHALATION,SANDOZ INC.,PULMICORT RESPULES,9/27/2013,
8,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM DELAYED-RELEASETABLETS 500 MG/20 MG (BASE) AND375 MG (20 MG (BASE),DR. REDDY'S LABORATORIES LIMITED,VIMOVO DELAYED-RELEASE TABLETS,9/27/2013,
9,PARICALCITOL CAPSULES1 MCG2 MCG AND4 MCG,TEVA PHARMACEUTICALS USA,ZEMPLAR CAPSULES,9/27/2013,
10,CLONIDINE HYDROCHLORIDE EXTENDED-RELEASE TABLETS0.1 MG AND0.2 MG,ANCHEN PHARMACEUTICALS INC.,KAPVAY EXTENDED-RELEASE TABLETS,9/30/2013,
