,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,ZALEPON CAPSULES5 MG AND10 MG,SANDOZ INC.,SONATA CAPSULES,6/6/2008,
2,ZALEPON CAPSULES5 MG AND10 MG,GENPHARM ULC,SONATA CAPSULES,6/6/2008,
3,ZALEPON CAPSULES5 MG AND10 MG,UNICHEM LABORATORIES LIMITED,SONATA CAPSULES,6/6/2008,
4,ZALEPON CAPSULES5 MG AND10 MG,AUROBINDO PHARMA LIMITED,SONATA CAPSULES,6/6/2008,
5,ZALEPON CAPSULES5 MG AND10 MG,UPSHER-SMITH LABORATORIES INC.,SONATA CAPSULES,6/6/2008,
6,ZALEPON CAPSULES5 MG AND10 MG,TEVA PHARMACEUTICALS USA,SONATA CAPSULES,6/6/2008,
7,ZALEPON CAPSULES5 MG AND10 MG,ROXANE LABORATORIES INC.,SONATA CAPSULES,6/6/2008,
8,PREDNISOLONE SODIUM PHOSPHATE ORAL SOLUTION20 MG (BASE)/5 ML,PHARMACEUTICAL ASSOCIATES INC.,ORAPRED ORAL SOLUTION 15 MG/5 ML,6/9/2008,
9,CICLOPIROX GEL0.77%,NYCOMED US INC.,LOPROX GEL,6/10/2008,
10,TORSEMIDE INJECTION10 MG/ML;2 ML AND5 MLVIALS,BEDFORD LABORATORIES,DEMADEX INJECTION 10 MG/ML,6/10/2008,
11,DRONABINOL CAPSULESUSP2.5 MG5 MG AND10 MG,PAR PHARMACEUTICAL INC.,MARINOL CAPSULES 2.5 MG 5 MG 10 MG,6/27/2008,
12,RISPERIDONE TABLETS USP0.25 MG0.5 MG1 MG2 MG3 MGAND 4 MG,TEVA PHARMACEUTICALS USA,RISPERDAL TABLETS,6/30/2008,
