,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,FOMEPIZOLE INJECTION 1 G/ML,PHARMAFORCE INC.,ANTIZOL INJECTION,12/14/2007,
2,EXTENDED PHENYTOIN SODIUM CAPSULES USP 30 MG,WOCKHARDT LIMITED,DILANTIN (EXTENDED PHENYTOIN SODIUM CAPSULES),12/18/2007,
3,CETIRIZINE HYDROCHLORIDE TABLETS (OTC) 5 MG AND 10 MG,MYLAN PHARMACEUTICALS INC.,ZYRTEC ALLERGY TABLETS/ZYRTEC HIVES RELIEF TA,12/27/2007,
4,CETIRIZINE HYDROCHLORIDE TABLETS (OTC) 5 MG AND 10 MG,CARACO PHARMACEUTICAL LABORATORIES LTD.,ZYRTEC ALLERGY TABLETS; ZYRTEC HIVES RELIEF T,12/27/2007,
5,CETIRIZINE HYDROCHLORIDE TABLETS (OTC) 5 MG AND 10 MG,PAR PHARMACEUTICAL INC.,ZYRTEC ALLERGY TABLETS/ZYRTEC HIVES RELIEF TA,12/27/2007,
6,CETIRIZINE HYDROCHLORIDE TABLETS (OTC) 5 MG AND 10 MG,RANBAXY LABORATORIES LIMITED,ZYRTEC ALLERGY TABLETS AND ZYRTEC HIVES RELIE,12/27/2007,
7,CETIRIZINE HYDROCHLORIDE TABLETS (OTC) 5 MG AND 10 MG,SANDOZ INC.,ZYRTEC ALLERGY TABLETS AND ZYRTEC HIVES RELIE,12/27/2007,
8,DICLOFENAC SODIUM OPHTHALMIC SOLUTION 0.1%,BAUSCH & LOMB INC.,VOLTAREN OPHTHALMIC SOLUTION,12/28/2007,
9,BALSALAZIDE DISODIUM CAPSULES 750 MG,ROXANE LABORATORIES INC.,COLAZAL CAPSULES,12/28/2007,
10,DICLOFENAC SODIUM OPHTHALMIC SOLUTION 0.1%,NEXUS PHARMACEUTICALS INC.,VOLTAREN OPHTHALMIC SOLUTION,12/28/2007,
11,GRANISETRON HYDROCHLORIDE INJECTION 0.1 MG (BASE)/1 ML; PACKAGED IN 0.1 MG (BASE)/ 1 ML SINGLE-USE VIALS,APP PHARMACEUTICALS LLC,KYTRIL INJECTION,12/31/2007,
12,GRANISETRON HYDROCHLORIDE TABLETS 1 MG (BASE),BARR LABORATORIES INC.,KYTRIL TABLETS,12/31/2007,
13,GRANISETRON HYDROCHLORIDE INJECTION 1 MG (BASE)/ML; PACKAGED IN 4 MG (BASE)/4 ML MULTIPLE-DOSE VIALS,BAXTER HEALTHCARE CORPORATION,KYTRIL INJECTION,12/31/2007,
14,GRANISETRON HYDROCHLORIDE TABLETS 1 MG (BASE),TEVA PHARMACEUTICALS USA,KYTRIL TABLETS,12/31/2007,
15,GRANISETRON HYDROCHLORIDE TABLETS 1 MG (BASE),COREPHARMA LLC,KYTRIL TABLETS,12/31/2007,
16,GRANISETRON HYDROCHLORIDE TABLETS 1 MG (BASE),ROXANE LABORATORIES INC.,KYTRIL TABLETS,12/31/2007,
17,GRANISETRON HYDROCHLORIDE INJECTION 0.1 MG (BASE)/ML; PACKAGED IN 0.1MG (BASE)/1 ML SINGLE-USE VIALS,WATSON LABORATORIES INC.,KYTRIL INJECTION,12/31/2007,
18,GRANISETRON HYDROCHLORIDE INJECTION (PRESERVATIVE-FREE) 1 MG (BASE)/ML; PACKAGED IN 1 MG (BASE)/1 ML SINGLE-DOSE VIALS,TEVA PARENTERAL MEDICINES INC.,KYTRIL INJECTION,12/31/2007,
