,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,AZITHROMYCIN FOR ORAL SUSPENSION USP100 MG/5 ML AND200 MG/5 ML,PLIVA INC.,ZITHROMAX FOR ORAL SUSPENSION,7/5/2006,
2,MELOXICAM TABLETS7.5 MG AND15 MG,BRECKENRIDGE PHARMACEUTICAL INC.,MOBIC TABLETS,7/19/2006,
3,MELOXICAM TABLETS7.5 MG AND15 MG,COREPHARMA LLC,MOBIC TABLETS,7/19/2006,
4,MELOXICAM TABLETS7.5 MG AND15 MG,CARACO PHARMACEUTICAL LABORATORIES LTD.,MOBIC TABLETS,7/19/2006,
5,MELOXICAM TABLETS7.5 MG AND15 MG,LUPIN LIMITED,MOBIC TABLETS,7/19/2006,
6,MELOXICAM TABLETS7.5 MG AND15 MG,MYLAN PHARMACEUTICALS INC.,MOBIC TABLETS,7/19/2006,
7,MELOXICAM TABLETS7.5 MG AND15 MG,WATSON LABORATORIES INC.,MOBIC TABLETS,7/19/2006,
8,MELOXICAM TABLETS7.5 MG AND15 MG,ZYDUS PHARMACEUTICALS USA INC.,MOBIC TABLETS,7/19/2006,
9,MELOXICAM TABLETS7.5 MG AND15 MG,ROXANE LABORATORIES INC.,MOBIC TABLETS,7/19/2006,
10,MELOXICAM TABLETS7.5 MG AND15 MG,TEVA PHARMACEUTICALS USA,MOBIC TABLETS,7/19/2006,
11,MELOXICAM TABLETS7.5 MG AND15 MG,GLENMARK PHARMACEUTICALS LTD.,MOBIC TABLETS,7/19/2006,
12,MELOXICAM TABLETS7.5 MG AND15 MG,PAR PHARMACEUTICAL,MOBIC TABLETS,7/19/2006,
13,MELOXICAM TABLETS7.5 MG AND15 MG,MUTUAL PHARMACEUTICAL COMPANY INC.,MOBIC TABLETS,7/19/2006,
14,MELOXICAM TABLETS7.5 MG AND15 MG,ACTAVIS TOTOWA LLC,MOBIC TABLETS,7/19/2006,
15,MELOXICAM TABLETS7.5 MG AND15 MG,GENPHARM INC.,MOBIC TABLETS,7/20/2006,
16,ESTRADIOL TRANSDERMAL SYSTEM0.0375 MG/24 HOURS AND0.06 MG/24 HOURS (ADDITIONAL STRENGTHS),MYLAN TECHNOLOGIES INC.,CLIMARA TRANSDERMAL SYSTEM,7/20/2006,
17,FINASTERIDE TABLETS USP1 MG,DR. REDDY'S LABORATORIES LIMITED,PROPECIA TABLETS,7/28/2006,
18,METOPROLOL SUCCINATE EXTENDED-RELEASE TABLETS USP25 MG,SANDOZ INC.,TOPROL-XL EXTENDED RELEASE TABLETS,7/31/2006,
