,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,METRONIDAZOLE TOPICAL GEL0.75%,ALTANA INC.,METROGEL TOPICAL GEL,6/6/2006,
2,POTASSIUM CITRATE EXTENDED-RELEASE TABLETS USP5 mEq AND10 mEq,COREPHARMA LLC,UROCIT-K,6/8/2006,
3,FINASTERIDE TABLETS USP5 MG,IVAX PHARMACEUTICALS INC.,PROSCAR TABLETS,6/19/2006,
4,LAMOTRIGINE TABLETS (CHEWABLE)5 MG AND25 MG,TEVA PHARMACEUTICALS USA,LAMICTAL TABLETS (CHEWABLE DISPERSIBLE),6/21/2006,
5,SIMVASTATIN TABLETS USP80 MG,RANBAXY INC.,ZOCOR TABLETS,6/23/2006,
6,SIMVASTATIN TABLETS USP5 MG10 MG20 MG AND40 MG,IVAX PHARMACEUTICALS INC.,ZOCOR TABLETS,6/23/2006,
7,LORATADINE ORAL SOLUTION USP (OTC)5 MG/5 ML,SILARX PHARMACEUTICALS INC.,CLARITIN HIVES RELIEF SYRUP,6/29/2006,
8,TRANYLCYPROMINE SULFATE TABLETS10 MG (BASE),KALI LABORATORIES INC.,PARNATE TABLETS 10 MG,6/29/2006,
9,SERTRALINE HYDROCHLORIDE TABLETS25 MG (BASE)50 MG (BASE) AND100 MG (BASE),IVAX PHARMACEUTICALS INC.,ZOLOFT TABLETS,6/30/2006,
10,SERTRALINE HYDROCHLORIDE ORAL CONCENTRATE20 MG (BASE)/ML,ROXANE LABORATORIES INC.,ZOLOFT ORAL CONCENTRATE,6/30/2006,
