,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,INDOMETHACIN FOR INJECTION USP1 MG/VIAL,BEDFORD LABORATORIES,INDOCIN I.V. 1 MG/VIAL,7/16/2008,
2,DOXYCYCLINE FOR ORAL SUSPENSION USP25 MG/5 ML,IVAX PHARMACEUTICALS INC.,VIBRAMYCIN FOR ORAL SUSPENSION 25 MG/5 ML,7/16/2008,
3,NISOLDIPINE EXTENDED RELEASE TABLETS20 MG30 MG40 MG,MYLAN PHARMACEUTICALS INC.,SULAR EXTENDED-RELEASE TABLETS,7/25/2008,
4,MYCOPHENOLATE MOFETIL CAPSULES250 MG,ROXANE LABORATORIES INC.,CELLCEPT CAPSULES 250 MG,7/29/2008,
5,DIVALPROEX SODIUM DELAYED-RELEASE TABLETS USP125 MG250 MG AND500 MG (VALPROIC ACID ACTIVITY),DR. REDDY'S LABORATORIES LIMITED,DEPAKOTE DELAYED-RELEASE TABLETS,7/29/2008,
6,MYCOPHENOLATE MOFETIL TABLETS500 MG,ROXANE LABORATORIES INC.,CELLCEPT TABLETS 500 MG,7/29/2008,
7,DIVALPROEX SODIUM DELAYED-RELEASE TABLETS USP125 MG250 MG AND500 MG (VALPROIC ACID ACTIVITY),SUN PHARMACEUTICAL INDUSTRIES LTD.,DEPAKOTE DELAYED-RELEASE TABLETS,7/29/2008,
8,DIVALPROEX SODIUM DELAYED-RELEASE TABLETS USP125 MG250 MG AND 500 MG(VALPROIC ACID ACTIVITY),GENPHARM ULC,DEPAKOTE TABLETS,7/29/2008,
9,DIVALPROEX SODIUM DELAYED-RELEASE TABLETS USP125 MG250 MG AND500 MG (VALPROIC ACID ACTIVITY),UPSHER-SMITH LABORATORIES INC.,DEPAKOTE DELAYED-RELEASE TABLETS,7/29/2008,
10,DIVALPROEX SODIUM DELAYED-RELEASE TABLETS USP125 MG250 MG AND500 MG (VALPROIC ACID ACTIVITY),SANDOZ INC.,DEPAKOTE DELAYED-RELEASE TALBETS,7/29/2008,
11,DIVALPROEX SODIUM DELAYED-RELEASE TABLETS USP125 MG250 MG AND500 MG,TEVA PHARMACEUTICALS USA,DEPAKOTE DELAYED-RELEASE TABLETS,7/29/2008,
12,DIVALPROEX SODIUM DELAYED-RELEASE TABLETS USP125 MG250 MG AND500 MG,LUPIN LIMITED,DEPAKOTE DELAYED-RELEASE TABLETS,7/29/2008,
13,EPLERENONE TABLETS25 MG50 MG,APOTEX INC.,INSPRA TABLETS 25 MG AND 50 MG,7/30/2008,
