,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,LINEZOLID FOR ORAL SUSPENSION100 MG/5 ML,ROXANE LABORATORIES INC.,ZYVOX FOR ORAL SUSPENSION,6/3/2015,
2,ZOLPIDEM TARTRATE SUBLINGUAL TABLETS1.75 MG3.5 MG,NOVEL LABORATORIES INC.,INTERMEZZO SUBLINGUAL TABLETS,6/3/2015,
3,EPTIFIBATIDE INJECTION7.5 MG/100 ML,TEVA PHARMACEUTICALS INC.,INTEGRILIN,6/5/2015,
4,CLINDAMYCIN PHASPHATE AND TRETINOIN GEL 1.2%/0.025%,ACTAVIS MID ATLANTIC LLC,ZIANA TOPICAL GEL,6/12/2015,
5,EPTIFIBATIDE INJECTION 2 MG/ML,TEVA PHARMACEUTICALS USA,INTEGRILIN INJECTION,6/12/2015,
6,GEMIFLOXACIN MESYLATE TABLETS 320 MG,ORCHID HEALTHCARE,FACTIVE TABLETS,6/15/2015,
7,CLINDAMYCIN PHOSPHATE AND BENZYL PEROXIDE GEL 1.2%/2.5%,ACTAVIS LABORATORIES UT INC.,ACANYA GEL,6/19/2015,
8,EZETIMIBE TABLETS 10 MG,GLENMARK PHARMACEUTICALS LTD.,ZETIA TABLETS,6/26/2015,
9,DESVENLAFAXINE SUCCINATE EXTENDED-RELEASE TABLETS 50 MG 100 MG,ALEMBIC PHARMACEUTICALS LTD.,PRISTIQ,6/29/2015,
10,DESVENLAFAXINE SUCCINATE EXTENDED-RELEASE TABLETS 50 MG 100 MG,LUPIN PHARMACEUTICALS INC.,PRISTIQ,6/29/2015,
11,DESVENLAFAXINE SUCCINATE EXTENDED-RELEASE TABLETS 50 MG 100 MG,SANDOZ INC.,PRISTIQ,6/29/2015,
12,DESVENLAFAXINE SUCCINATE EXTENDED-RELEASE TABLETS 50 MG 100 MG,MYLAN PHARMACEUTICALS INC.,PRISTIQ,6/29/2015,
