,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,MOMETASONE FUROATE TOPICAL SOLUTION USP 0.1%,AIGIS INDUSTRIES LTD.,ELOCON TOPICAL LOTION,4/6/2005,
2,OCTREOTIDE ACETATE INJECTION 0.2 MG/ML (BASE) 1 MG/ML (BASE),BEDFORD LABORATORIES,SANDOSTATIN INJECTION,4/8/2005,
3,FEXOFENADINE HCL & PSEUDOEPHEDRINE HCL EXTENDED-RELEASE TAB 60 MG/120 MG,BARR LABORATORIES INC.,ALLEGRA D EXTENDED-RELEASE TABLETS,4/14/2005,
4,NIACIN EXTENDED-RELEASE TABLETS 1000 MG,BARR LABORATORIES INC.,NIASPAN TABLETS,4/14/2005,
5,ANAGRELIDE HYDROCHLORIDE CAPSULES 0.5 MG (BASE) AND 1 MG (BASE),IMPAX LABORATORIES INC.,AGRYLIN CAPSULES,4/18/2005,
6,ANAGRELIDE HYDROCHLORIDE CAPSULES 0.5 MG (BASE) AND 1 MG (BASE),IVAX PHARMACEUTICALS INC.,AGRYLIN CAPSULES,4/18/2005,
7,ANAGRELIDE HYDROCHLORIDE CAPSULES 0.5 MG (BASE) AND 1 MG (BASE),ROXANE LABORATORIES INC.,AGRYLIN CAPSULES,4/18/2005,
8,ANAGRELIDE HYDROCHLORIDE CAPSULES 0.5 MG (BASE) AND 1 MG (BASE),WATSON LABORATORIES INC.,AGRYLIN CAPSULES,4/18/2005,
9,ANAGRELIDE HYDROCHLORIDE CAPSULES 0.5 MG (BASE) AND 1 MG (BASE),BARR LABORATORIES INC.,AGRYLIN CAPSULES,4/18/2005,
10,ANAGRELIDE HYDROCHLORIDE CAPSULES 0.5 MG (BASE) AND 1 MG (BASE),EON LABS INC.,AGRYLIN CAPSULES,4/18/2005,
11,ANAGRELIDE HYDROCHLORIDE CAPSULES 0.5 MG (BASE) AND 1 MG (BASE),MYLAN PHARMACEUTICALS INC.,AGRYLIN CAPSULES,4/18/2005,
12,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN TABLETS 37.5 MG/325 MG,KALI LABORATORIES INC.,ULTRACET TABLETS,4/21/2005,
13,CLOZAPINE TABLETS USP 50 MG (NEW STRENGTH),IVAX PHARMACEUTICALS INC.,CLOZARIL TABLETS,4/25/2005,
14,NIACIN EXTENDED-RELEASE TABLETS 500 MG AND 750 MG,BARR LABORATORIES INC.,NIASPAN EXTENDED-RELEASE TABLETS,4/26/2005,
15,ESTRADIOL AND ESTRADIOL/NORGESTIMATE TABLETS 1 MG AND 1 MG/0.09 MG,BARR LABORATORIES INC.,PREFEST TABLETS,4/29/2005,
