,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,OXANDROLONE TABLETS USP2.5 MG,UPSHER-SMITH LABORATORIES INC.,OXANDRIN TABLETS,12/1/2006,
2,OXANDROLONE TABLETS USP2.5 MG10 MG,SANDOZ INC.,OXANDRIN TABLETS,12/1/2006,
3,PAROXETINE HYDROCHLORIDE ORAL SUSPENSION10 MG/5 ML,APOTEX INC.,PAXIL ORAL SUSPENSION,12/4/2006,
4,TRANDOLAPRIL TABLETS1 MG2 MG AND4 MG,TEVA PHARMACEUTICALS USA,MAVIK TABLETS,12/12/2006,
5,BUPROPION HYDROCHLORIDE EXTENDED-RELEASE TABLETS USP150 MG AND300 MG(ONCE-A-DAY),ANCHEN PHARMACEUTICALS INC.,WELLBUTRIN XL EXTENDED RELEASE TABLETS,12/14/2006,
6,ALBUTEROL SULFATE & IPRATROPIUM BROMIDE INHALATION SOLUTION3 MG (0.083%) AND0.5 MG (0.017%);3 MLVIALS,SANDOZ INC.,DUONEB INHALATION SOLUTION,12/21/2006,
7,ONDANSETRON ORAL SOLUTION USP4 MG/5 ML,ROXANE LABORATORIES INC.,ZOFRAN ORAL SOLUTION,12/26/2006,
8,ONDANSETRON ORALLY DISINTEGRATING TABLETS USP16 MG AND24 MG,KALI LABORATORIES INC.,ZOFRAN ODT,12/26/2006,
9,ONDANSETRON HYDROCHLORIDE TABLETS16 MG (BASE),DR. REDDY'S LABORATORIES LIMITED,ZOFRAN TABLETS,12/26/2006,
10,ONDANSETRON HYDROCHLORIDE TABLETS4 MG (BASE)8 MG (BASE) AND24 MG (BASE),DR. REDDY'S LABORATORIES LIMITED,ZOFRAN TABLETS,12/26/2006,
11,ONDANSETRON ORALLY DISINTEGRATING TABLETS USP4 MG AND8 MG,KALI LABORATORIES INC.,ZOFRAN ODT,12/26/2006,
12,METHSCOPOLAMINE BROMIDE TABLETS USP2.5 MG AND5 MG,BOCA PHARMACAL INC.,PAMINE TABLETS & PAMINE FORTE TABLETS,12/28/2006,
