,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,DOXYCYCLINE DELAYED-RELEASE CAPSULES40 MG(30 MG IMMEDIATE RELEASE AND10 MG DELAYED-RELEASE),MYLAN PHARMACEUTICALS INC.,ORACEA CAPSULES,7/1/10,
2,CLINDAMYCIN PALMITATE HYDROCHLORIDE FOR ORAL SOLUTION USP75 MG (BASE)/5 ML,PADDOCK LABORATORIES INC.,CLEOCIN FOR ORAL SOLUTION,7/7/10,
3,NARATRIPTAN TABLETS USP1 MG AND2.5 MG,TEVA PHARMACEUTICALS USA,AMERGE TABLETS,7/7/10,
4,NARATRIPTAN TABLETS USP1 MG AND2.5 MG,ROXANE LABORATORIES INC.,AMERGE TABLETS 1 MG AND 2.5 MG,7/7/10,
5,NARATRIPTAN TABLETS USP1 MG AND2.5 MG,SANDOZ INC.,AMERGE TABLETS 1 MG AND 2.5 MG,7/7/10,
6,DESLORATADINE ORALLY DISINTEGRATING TABLETS2.5 MG AND5 MG,DR. REDDY'S LABORATORIES LIMITED,CLARINEX REDITABS,7/12/10,
7,ISOSULFAN BLUE INJECTION10 MG/ML (1%)PACKAGED IN 50 MG/5 MLSINGLE-USE VIALS,SYNERX PHARMA LLC,LYMPHAZURIN INJECTION,7/20/10,
8,METHYLPHENIDATE HYDROCHLORIDE ORAL SOLUTION5 MG/5 ML AND10 MG/5 ML,TRIS PHARMA INC.,METHYLIN ORAL SOLUTION,7/23/10,
9,ENOXAPARIN SODIUM INJECTION USP100 MG/ML (PACKAGED IN30 MG/0.3 ML 40 MG/0.4 ML60 MG/0.6 ML 80 MG/0.8 MLAND 100 MG/1 ML)AND 150 MG/ML (PACKAGED IN120 MG/0.8 ML AND 150 MG/ 1 ML)SINGLE-DOSE SYRINGES (PRESERVATIVE-FREE),SANDOZ INC.,LOVEXOX INJECTION (PRESERVATIVE-FREE),7/23/10,
10,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE CAPSULES2.5 MG (BASE)/10 MG5 MG (BASE)/10 MG5 MG (BASE)/20 MG5 MG (BASE)/40 MG10 MG (BASE)/20 MG AND10 MG (BASE)/40 MG,PAR PHARMACEUTICAL INC.,LOTREL CAPSULES,7/29/10,
