,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,SODIUM BICARBONATE INJECTION USP 7.5% (0.9 mEq/ML) AND 8.4% (1 mEq/ML)SYRINGES,HOSPIRA INC.,SODIUM BICARBONATE INJECTION USP,11/9/2005,
2,HYDROMORPHONE HYDROCHLORIDE TABLETS USP 2 MG 4 MG AND 8 MG,KV PHARMACEUTICAL COMPANY,DILAUDID TABLETS,11/9/2005,
3,CEFPROZIL TABLETS USP 250 MG AND 500 MG,SANDOZ INC.,CEFZIL TABLETS,11/14/2005,
4,AZITHROMYCIN TABLETS 500 MG,TEVA PHARMACEUTICALS USA,ZITHROMAX TABLETS,11/14/2005,
5,AZITHROMYCIN TABLETS 250 MG,TEVA PHARMACEUTICALS USA,ZITHROMAX TABLETS,11/14/2005,
6,AZITHROMYCIN TABLETS 600 MG,TEVA PHARMACEUTICALS USA,ZITHROMAX TABLETS,11/14/2005,
7,AZITHROMYCIN TABLETS 500 MG,SANDOZ INC.,ZITHROMAX TABLETS,11/14/2005,
8,AZITHROMYCIN TABLETS 250 MG,SANDOZ INC.,ZITHROMAX TABLETS,11/14/2005,
9,AZITHROMYCIN TABLETS 600 MG,SANDOZ INC.,ZITHROMAX TABLETS,11/14/2005,
10,OFLOXACIN OTIC SOLUTION 0.3%,APOTEX INC.,FLOXIN OTIC SOLUTION,11/18/2005,
11,PROMETHAZINE HYDROCHLORIDE TABLETS USP 12.5 MG 25 MG AND 50 MG,ZYDUS PHARMACEUTICALS USA INC.,PHENERGAN TABLETS,11/18/2005,
