,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,MONTELUKAST SODIUM TABLETS10 MG (BASE),ROXANE LABORATORIES INC.,SINGULAIR TABLETS,8/3/2012,
2,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),MYLAN PHARMACEUTICALS INC.,SINGULAIR CHEWABLE TABLETS,8/3/2012,
3,MONTELUKAST SODIUM TABLETS10 MG (BASE),GLENMARK GENERICS LIMITED,SINGULAIR TABLETS,8/3/2012,
4,MONTELUKAST SODIUM TABLETS10 MG (BASE),KUDCO IRELAND LIMITED,SINGULAIR TABLETS,8/3/2012,
5,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),KUDCO IRELAND LIMITED,SINGULAIR CHEWABLE TABLETS,8/3/2012,
6,MONTELUKAST SODIUM TABLETS10 MG (BASE),ENDO PHARMACEUTICALS INC.,SINGULAIR TABLETS,8/3/2012,
7,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),ENDO PHARMACEUTICALS INC.,SINGULAIR CHEWABLE TABLETS,8/3/2012,
8,MONTELUKAST SODIUM TABLETS10 MG (BASE),AUROBINDO PHARMA LIMITED,SINGULAIR TABLETS,8/3/2012,
9,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),AUROBINDO PHARMA LIMITED,SINGULAIR CHEWABLE TABLETS,8/3/2012,
10,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),APOTEX INC.,SINGULAIR CHEWABLE TABLETS,8/3/2012,
11,MONTELUKAST SODIUM ORAL GRANULES4 MG (BASE)/SINGLE-DOSE PACKET,TEVA PHARMACEUTICALS USA,SINGULAIR ORAL GRANULES 4 MG (BASE),8/3/2012,
12,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),TEVA PHARMACEUTICALS USA,SINGULAIR CHEWABLE TABLETS,8/3/2012,
13,MONTELUKAST SODIUM TABLETS10 MG (BASE),MYLAN PHARMACEUTICALS INC.,SINGULAIR TABLETS,8/3/2012,
14,MONTELUKAST SODIUM TABLETS10 MG (BASE),TEVA PHARMACEUTICALS USA,SINGULAIR TABLETS 10 MG (BASE),8/3/2012,
15,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),ROXANE LABORATORIES INC.,SINGULAIR CHEWABLE TABLETS,8/3/2012,
16,MONTELUKAST SODIUM TABLETS 10 MG (BASE),SANDOZ INC.,SINGULAIR TABLETS 10 MG (BASE),8/3/2012,
17,MONTELUKAST SODIUM CHEWABLE TABLETS4 MG (BASE) AND5 MG (BASE),TORRENT PHARMACEUTICALS LTD.,SINGULAIR CHEWABLE TABLETS,8/3/2012,
18,MONTELUKAST SODIUM TABLETS10 MG (BASE),TORRENT PHARMACEUTICALS LIMITED,SINGULAIR TABLETS,8/3/2012,
19,MONTELUKAST SODIUM TABLETS10 MG (BASE),APOTEX INC.,SINGULAIR TABLETS,8/3/2012,
20,DIDANOSINE TABLETS FOR ORAL SUSPENSION USP100 MG150 MG AND200 MG,AUROBINDO PHARMA LIMITED,VIDEX TABLETS (CHEWABLE DISPERSIBLE BUFFERE,8/14/2012,
21,CLOBETASOL PROPIONATE FOAM (EMOLLIENT FORMULATION)0.05%,PERRIGO ISRAEL PHARMACEUTICALS LTD.,OLUX E FOAM,8/14/2012,
22,PIOGLITAZONE TABLETS USP15 MG30 MG AND45 MG,MYLAN PHARMACEUTICALS INC.,ACTOS TABLETS,8/17/2012,
23,MYCOPHENOLIC ACID DELAYED-RELEASE TABLETS180 MG,APOTEX CORP.,MYFORTIC DELAYED-RELEASE TABLETS,8/21/2012,
24,NEDOCROMIL SODIUM OPHTHALMIC SOLUTION2%,AKORN INC.,ALOCRIL OPHTHALMIC SOLUTION,8/22/2012,
25,LIDOCAINE PATCH5%,WATSON LABORATORIES INC.,LIDODERM PATCH,8/23/2012,
26,ARMODAFINIL TABLETS100 MG AND200 MG,WATSON LABORATORIES INC.,NUVIGIL TABLETS,8/29/2012,
27,AZELASTINE HYDROCHLORIDE NASAL SOLUTION(NASAL SPRAY)0.15%[0.187 MG (BASE)/SPRAY],APOTEX INC.,ASTEPRO NASAL SPRAY,8/31/2012,
