,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE TABLETS10 MG/12.5 MG AND20 MG/12.5 MG,ANDRX PHARMACEUTICALSLLC,MONOPRIL HCT TABLETS,12/3/2004,
2,BUPROPION HYDROCHLORIDE EXTENDED-RELEASE TABLETS USP200 MG,IMPAX LABORATORIES INC.,WELLBUTRIN SR SUSTAINED-RELEASE TABLETS,12/3/2004,
3,DIDANOSINE DELAYED-RELEASE CAPSULES200 MG250 MG AND400 MG,BARR LABORATORIES INC.,VIDEX EC DELAYED-RELEASE CAPSULES,12/3/2004,
4,CITALOPRAM HYDROBROMIDE ORAL SOLUTION10 MG (BASE)/ 5 ML,ROXANE LABORATORIES INC.,CELEXA ORAL SOLUTION,12/13/2004,
5,QUINAPRIL TABLETS USP5 MG10 MG20 MG AND40 MG,RANBAXY LABORATORIES LIMITED,ACCUPRIL TABLETS,12/15/2004,
6,HALOBETASOL PROPIONATE OINTMENT0.05%,TARO PHARMACEUTICALS USA INC.,ULTRAVATE OINTMENT,12/16/2004,
7,HALOBETASOL PROPIONATE CREAM0.05%,ALTANA INC.,ULTRAVATE CREAM,12/16/2004,
8,HALOBETASOL PROPIONATE OINTMENT0.05%,ALTANA INC.,ULTRAVATE OINTMENT,12/16/2004,
9,HALOBETASOL PROPIONATE OINTMENT0.05%,AGIS INDUSTRIES (1983) LTD.,ULTRAVATE OINTMENT,12/16/2004,
10,HALOBETASOL PROPIONATE CREAM0.05%,AGIS INDUSTRIES (1983) LTD.,ULTRAVATE CREAM,12/16/2004,
11,MOMETASONE FUROATE CREAM USP0.1%,TARO PHARMACEUTICALS U.S.A. INC.,ELOCON CREAM,12/21/2004,
12,GLYCOPYRROLATE TABLETS USP1 MG AND2 MG,COREPHARMA LLC,ROBINUL TABLETS 1 MG & ROBINUL FORTE TABLETS,12/22/2004,
13,CLINDAMYCIN PHOSPHATE VAGINAL CREAM USP2% (BASE),ALTANA INC.,CLEOCIN VAGINAL CREAM,12/27/2004,
14,HYDROCORTISONE BUTYRATE OINTMENT USP0.1%,TARO PHARMACEUTICAL INDUSTRIES LTD.,LOCOID OINTMENT,12/27/2004,
15,CICLOPIROX OLAMINE CREAM USP0.77%,ALTANA INC.,LOPROX CREAM,12/29/2004,
