,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,POLYETHYLENE GLYCOL 3350 POWDER FOR SOLUTION (OTC)17 GRAMS/ SCOOPFUL,KREMERS URBAN DEVELOPMENT COMPANY,MIRALAX FOR ORAL SOLUTION,10/6/2009,
2,POLYETHYLENE GLYCOL 3350 POWDER FOR SOLUTION (OTC)17 GRAMS/ SCOOPFUL,PERRIGO R&D COMPANY,MIRALAX POWDER FOR SOLUTION,10/6/2009,
3,POLYETHYLENE GLYCOL 3350 POWDER FOR SOLUTION (OTC)17 GRAMS/ SCOOPFUL,NOVEL LABORATORIES INC.,MIRALAX POWDER FOR SOLUTION,10/6/2009,
4,POLYETHYLENE GLYCOL 3350 POWDER FOR SOLUTION (OTC)17 GRAMS/SCOOPFUL ORSINGLE-DOSE POUCH,MYLAN PHARMACEUTICALS INC.,MIRALAX POWDER FOR SOLUTION,10/6/2009,
5,CLONIDINE HYDROCHLORIDE INJECTION0.1 MG/ML AND0.5 MG/ML,PHARMAFORCE INC.,DURACLON INJECTION,10/8/2009,
6,BUPRENORPHINE HYDROCHLORIDE SUBLINGUAL TABLETS2 MG (BASE) AND8 MG (BASE),ROXANE LABORATORIES INC.,SUBUTEX SUBLINGUAL TABLETS,10/8/2009,
7,CHLOROTHIAZIDE SODIUM FOR INJECTION USP500 MG/VIAL,APP PHARMACEUTICALS INC.,DIURIL INJECTION 500 MG/VIAL,10/16/2009,
8,CHENODIOL TABLETS250 MG,NEXGEN PHARMA INC.,CHENIX TABLETS 250 MG,10/22/2009,
9,ORAL TRANSMUCOSAL FENTANYL CITRATE200 MCG400 MCG600 MCG800 MCG1200 MCG AND1600 MCH,BARR LABORATORIES INC.,ACTIQ,10/30/2009,
10,ORAL TRANSMUCOSAL FENTANYL CITRATE200 MCG400 MCG600 MCG800 MCG1200 MCG AND1600 MCG,MALLINCKRODT INC.,ACTIQ ORAL TRANSMUCOSAL LOZENGE,10/30/2009,
