,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,CHLORZOXAZONE TABLETS USP 375 MG AND 750 MG,MIKART INC.,PARAFON FORTE DSC CAPLETS,6/1/2010,
2,ADAPALENE GEL 0.1%,PLIVA HRVATSKA d.o.o.,DIFFERIN GEL,6/2/2010,
3,MICONAZOLE NITRATE VAGINAL INSERT & MICONAZOLE NITRATE CREAM1200 MG/2%,PERRIGO R&D COMPANY,MONISTAT 1 COMBINATION PACK,6/2/2010,
4,OXYMORPHONE HYDROCHLORIDE EXTENDED-RELEASE TABLETS5 MG10 MG20 MG AND40 MG,IMPAX LABORATORIES INC.,OPANA ER TABLETS,6/14/2010,
5,AZTREONAM FOR INJECTION USP500 MG/VIAL1 G/VIAL AND2 G/VIAL,APP PHARMACEUTICALS LLC,AZACTAM FOR INJECTION,6/18/2010,
6,ARTICAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION4%/1:100000(DENTAL CARTRIDGE),HOSPIRA INC.,SEPTOCAINE AND EPINEPHRINE INJECTION (4%/1:10,6/18/2010,
7,MEROPENEM FO RINJECTION USP500 MG/VIAL AND1 G/VIAL,HOSPIRA INC.,MERREM I.V. FOR INJECTION,6/22/2010,
8,ANASTROZOLE TABLETS1 MG,ACCORD HEALTHCARE INC. USA,ARIMIDEX TABLETS,6/28/2010,
9,ANASTROZOLE TABLETS1 MG,NATCO PHARMA LIMITED,ARIMIDEX TABLETS,6/28/2010,
10,ANASTROZOLE TABLETS1 MG,SANDOZ INC.,ARIMIDEX TABLETS,6/28/2010,
11,ANASTROZOLE TABLETS1 MG,STASON PHARMACEUTICALS INC.,ARIMIDEX TABLETS,6/28/2010,
12,ANASTROZOLE TABLETS1 MG,MYLAN PHARMACEUTICALS INC.,ARIMIDEX TABLETS,6/28/2010,
13,ANASTROZOLE TABLETS1 MG,ZYDUS PHARMACEUTICALS USA INC.,ARIMIDEX TABLETS,6/28/2010,
14,ANASTROZOLE TABLETS1 MG,THREE RIVERS PHARMACEUTICALS LLC,ARIMIDEX TABLETS,6/28/2010,
15,ANASTROZOLE TABLETS1 MG,FRESENIUS KABI ONCOLOGY Plc,ARIMIDEX TABLETS,6/28/2010,
16,ANASTROZOLE TABLETS1 MG,SYNTHON PHARMACEUTICALS INC.,ARIMIDEX TABLETS,6/28/2010,
17,ANASTROZOLE TABLETS1 MG,ROXANE LABORATORIES INC.,ARIMIDEX TABLETS,6/28/2010,
18,ANASTROZOLE TABLETS1 MG,WATSON LABORATORIES INC.,ARIMIDEX TABLETS,6/28/2010,
19,VENLAFAXINE HYDROCHLORIDE EXTENDED-RELEASE CAPSULES37.5 MG (BASE)75 MG (BASE) AND150 MG (BASE),TEVA PHARMACEUTICALS USA,EFFEXOR XR CAPSULES,6/28/2010,
20,ANASTROZOLE TABLETS1 MG,DR. REDDY'S LABORATORIES LTD.,ARIMIDEX TABLETS,6/28/2010,
21,ADAPALENE CREAM0.1%,NYCOMED US INC.,DIFFERIN CREAM,6/30/2010,
