,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,AMOXICILLIN & CLAVULANATE POTASSIUM FOR ORAL SUSPENSION US 600 MG/42.9 MG (BASE)/5 ML,TEVA PHARMACEUTICALS USA,AUGMENTIN ES-600 FOR ORAL SUSPENSION,3/12/2004,
2,DEFEROXAMINE MESYLATE FOR INJECTION USP 500 MG/VIAL AND 2 G/VIAL,ABBOTT LABORATORIES,DESFERAL FOR INJECTION,3/17/2004,
3,NAPROXEN SODIUM & PSEUDOEPHEDRINE HCL EXTENDED-RELEASE TABLE 200 MG (BASE)/120 MG,L. PERRIGO COMPANY,ALEVE COLD AND SINUS EXTENDED-RELEASE TABLETS,3/17/2004,
4,HYDROCODONE BITARTRATE AND IBUPROFEN TABLETS 5 MG/200 MG,INTERPHARM INC.,VICOPROFEN TABLETS,3/18/2004,
5,BUPROPION HYDROCHLORIDE EXTENDED-RELEASE TABLETS USP 150 MG (TWICE-A-DAY DOSING),EON LABS INC.,WEBBBUTRIN SR TABLETS,3/22/2004,
6,DEMECLOCYCLINE HYDROCHLORIDE TABLETS USP 150 MG AND 300 MG,IMPAX LABORATORIES INC.,DECLOMYCIN HYDROCHLORIDE TABLETS,3/22/2004,
7,NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS) CAPSULES 100 MG,MYLAN PHARMACEUTICALS INC.,MACROBID CAPSULES,3/22/2004,
8,BUPROPION HYDROCHLORIDE EXTENDED-RELEASE TABLETS USP 150 MG (TWICE-A-DAY DOSING),IMPAX LABORATORIES INC.,WELLBUTRIN SR SUSTAINED-RELEASE TABLETS,3/22/2004,
9,NIFEDIPINE EXTENDED-RELEASE TABLETS USP 90 MG,MARTEC SCIENTIFIC INC.,PROCARDIA XL 90 MG,3/23/2004,
10,OXYCODONE HYDROCHLORIDE EXTENDED-RELEASE TABLETS 10 MG 20 MG AND 40 MG,ENDO PHARMACEUTICALS INC.,OXYCONTIN EXTENDED-RELEASE TABLETS,3/23/2004,
11,OXYCODONE HYDROCHLORIDE EXTENDED-RELEASE TABLETS 80 MG,TEVA PHARMACEUTICALS USA,OXYCONTIN EXTENDED-RELEASE TABLETS,3/23/2004,
12,ERYTHROMYCIN AND BENZOYL PEROXIDE TOPICAL GEL USP 3%/5%,ATRIX LABORATORIES INC.,BENZAMYCIN TOPICAL GEL,3/29/2004,
13,MICONAZOLE NITRATE CREAM 4% & MICONAZOLE NITRATE CREAM 2% 4%/2% (COMBINATION PACKAGE) (OTC),L. PERRIGO COMPANY,MONISTAT 3 COMBINATION PACK,3/30/2004,
14,QUINAPRIL HYDROCHLORIDE & HYDROCHLOROTHIAZIDE TABLETS 10 MG (BASE)/12.5 MG 20 MG (BASE)/12.5 MG AND 20 MG (BASE)/25 MG,AMIDE PHARMACEUTICAL INC.,ACCURETIC TABLETS,3/31/20,
