,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,PREGABALIN CAPSULES75 MG100 MG150 MG200 MG225 MG AND300 MG,TEVA PHARMACEUTICALS USA,LYRICA CAPSULES,7/3/2012,
2,PREGABALIN CAPSULES25 MG AND50 MG,TEVA PHARMACEUTICALS USA,LYRICA CAPSULES 25 MG AND 50 MG,7/3/2012,
3,PREGABALIN CAPSULES25 MG50 MG75 MG100 MG150 MG200 MG225 MG AND 300 MG,WATSON LABORATORIES INC.,LYRICA CAPSULES,7/3/2012,
4,PREGABALIN CAPSULES25 MG50 MG75 MG100 MG150 MG200 MG225 MG AND 300 MG,LUPIN LIMITED,LYRICA CAPSULES,7/3/2012,
5,DICLOFENAC SODIUM AND MISOPROSTOL DELAYED-RELEASE TABLETS50 MG/0.2 MG AND75 MG/0.2 MG,WATSON LABORATORIES INC. - FLORIDA,ARTHROTEC TABLETS,7/9/2012,
6,LEVONORGESTREL TABLETS (RX & OTC)1.5 MG,WATSON LABORATORIES INC.,PLAN B ONE STEP,7/12/2012,
7,PHENOXYBENZAMINE HYDROCHLORIDE CAPSULES USP10 MG,ROXANE LABORATORIES INC.,DIBENZYLINE CAPSULES,7/16/2012,
8,MODAFANIL TABLETS USP100 MG AND200 MG,MYLAN PHARMACEUTICALS INC.,PROVIGIL TABLETS,7/16/2012,
9,ENTACAPONE TABLETS USP200 MG,SUN PHARMA GLOBAL FZE,COMTAN TABLETS,7/16/2012,
10,METHYLPHENIDATE HYDROCHLORIDE EXTENDED-RELEASE CAPSULES(CD) 10 MG20 MG AND30 MG (ONCE DAILY),TEVA PHARMACEUTICALS USA,METADATE CD EXTENDED-RELEASE CAPSULES,7/19/2012,
11,METHYLPHENIDATE HYDROCHLORIDE EXTENDED-RELEASE CAPSULES(CD) 40 MG50 MG AND 60 MG(ONCE DAILY),TEVA PHARMACEUTICALS USA,METADATE CD EXTENDED-RELEASE CAPSULES,7/19/2012,
12,FEXOFENADINE HYDROCHLORIDE ORAL SUSPENSION30 MG/5 ML,ACTAVIS MID ATLANTIC LLC,ALLEGRA ORAL SUSPENSION,7/25/2012,
13,OXYCODONE HYDROCHLORIDE ORAL SOLUTION USP100 MG/5 ML,VISTAPHARM INC.,OXYCODONE HYDROCHLORIDE ORAL SOLUTION USP,7/30/2012,
