,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS100 MG/12.5 MG,ROXANE LABORATORIES INC,HYZAAR TABLETS,4/6/2010,
2,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS100 MG/12.5 MG,MYLAN PHARMACEUTICALS INC.,HYZAAR TABLETS,4/6/2010,
3,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS100 MG/12.5 MG,TORRENT PHARMACEUTICALS LTD.,HYZAAR TABLETS,4/6/2010,
4,LOSARTAN POTASSIUM TABLETS USP25 MG50 MG AND100 MG,TEVA PHARMACEUTICALS USA,COZAAR TABLETS,4/6/2010,
5,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS50 MG/12.5 MG100 MG/12.5 MG AND100 MG/25 MG,TEVA PHARMACEUTICALS USA,HYZAAR TABLETS,4/6/2010,
6,MEMANTINE HYDROCHLORIDE TABLETS5 MG AND10 MG,DR. REDDY'S LABORATORIES LIMITED,NAMENDA TABLETS,4/14/2010,
7,IMIPRAMINE PAMOATE CAPSULES75 MG100 MG125 MG AND150 MG,ROXANE LABORATORIES INC.,TOFRANIL-PM CAPSULES,4/16/2010,
8,IMIPRAMINE PAMOATE CAPSULES75 MG100 MG125 MG AND150 MG,LUPIN LIMITED,TOFRANIL-PM CAPSULES,4/16/2010,
9,AMOXICILLIN & CLAVULANATE POTASSIUM EXTENDED-RELEASE TABLETS1000 MG/62.5 MG (BASE),SANDOZ INC.,AUGMENTIN XR TABLETS,4/21/2010,
10,VORICONAZOLE TABLETS50 MG AND200 MG,MATRIX LABORATORIES LIMITED,VFEND TABLETS,4/22/2010,
