,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,DICLOFENAC SODIUM TOPICAL SOLUTION1.5% (w/w),PADDOCK LABORATORIES LLC,PENNSAID TOPICAL SOLUTION 1.5% (w/w),,
2,DEXLANSOPRAZOLE DELAYED-RELEASE CAPSULES60 MG,PAR PHARMACEUTICAL INC.,DEXILANT DELAYED-RELEASE CAPSULES,,
3,LINEZOLID FOR ORAL SUSPENSION100 MG/5 ML,ROXANE LABORATORIES INC.,ZYVOX FOR ORAL SUSPENSION,,
4,ABACAVIR SULFATE LAMIVUDINE AND ZIDOVUDINE TABLETS300 MG/150 MG/ 300 MG,LUPIN LIMITED,TRIZIVIR TABLETS,12/5/2013,
5,DULOXETINE DELAYED-RELEASE CAPSULES USP20 MG30 MG AND60 MG,SUN PHARMA GLOBAL FZE,CYMBALTA DELAYED-RELEASE CAPSULES,12/11/2013,
6,DULOXETINE DELAYED-RELEASE CAPSULES USP20 MG30 MG AND60 MG,AUROBINRO PHARMA LIMITED,CYMBALTA DELAYED-RELEASE CAPSULES,12/11/2013,
7,DULOXETINE DELAYED-RELEASE CAPSULES USP20 MG30 MG AND40 MG,TEVA PHARMACEUTICALS USA,CYMBALTA CAPSULES,12/11/2013,
8,DULOXETINE DELAYED-RELEASE CAPSULES USP20 MG30 MG AND60 MG,DR. REDDY'S LABORATORIES LIMITED,CYMBALTA DELAYED-RELEASE CAPSULES,12/11/2013,
9,DULOXETINE DELAYED-RELEASE CAPSULES USP20 MG30 MG40 MG AND60 MG,LUPIN LTD.,CYMBALTA DELAYED-RELEASE CAPSULES,12/11/2013,
10,DULOXATINE DELAYED-RELEASE CAPSULES USP20 MG30 MG AND60 MG,TORRENT PHARMACEUTICALS LIMITED,CYMBALTA DELAYED-RELEASE CAPSULES,12/11/2013,
