,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,RIBAVIRIN TABLETS200 MG400 MG AND 600 MG,THREE RIVERS PHARMACEUTICALS LLC,COPEGUS TABLETS,12/5/2005,
2,RIBAVIRIN TABLETS200 MG,ZYDUS PHARMACEUTICALS USA INC.,COPEGUS TABLETS,12/5/2005,
3,RIBAVIRIN TABLETS200 MG,TEVA PHARMACEUTICALS INC.,COPEGUS TABLETS,12/5/2005,
4,CARBAMAZEPINE TABLETS USP 100 MG 200 MG 300 MG AND400 MG,CARACO PHARMACEUTICAL LABORATORIES LTD.,TEGRETOL TABLETS,12/7/2005,
5,CEFPROZIL FOR ORAL SUSPENSION USP 125 MG/5 ML AND 250 MG/5 ML,TEVA PHARMACEUTICALS USA,CEFZIL FOR ORAL SUSPENSION,12/8/2005,
6,CEFPROZIL FOR ORAL SUSPENSION USP125 MG/5 ML AND 250 MG/5 ML,SANDOZ INC.,CEFZIL FOR ORAL SUSPENSION,12/8/2005,
7,OXYCODONE HYDROCHLORIDE TABLETS USP 5 MG 10 MG 15 MG 20 MG AND 30 MG,KV PHARMACEUTICAL COMPANY,ROXICODONE TABLETS,12/8/2005,
8,AZITHROMYCIN FOR INJECTION500 MG/VIAL,AMERICAN PHARMACEUTICAL PARTNERS INC.,ZITHROMAX FOR INJECTION,12/13/2005,
9,ZONISAMIDE CAPSULES25 MG50 MG AND 100 MG,ALPHAPHARM PTY LTD,ZONEGRAN CAPSULES,12/22/2005,
10,ZONISAMIDE CAPSULES 25 MG 50 MG AND 100 MG,TEVA PHARMACEUTICALS USA,ZONEGRAN CAPSULES,12/22/2005,
11,ZONISAMIDE CAPSULES25 MG50 MG AND 100 MG,APOTEX INC.,ZONEGRAN CAPSULES,12/22/2005,
12,ZONISAMIDE CAPSULES25 MG50 MG AND100 MG,SANDOZ INC.,ZONEGRAN CAPSULES,12/22/2005,
13,ZONISAMIDE CAPSULES25 MG50 MG AND100 MG,BARR LABORATORIES INC.,ZONEGRAN CAPSULES,12/22/2005,
14,ZONISAMIDE CAPSULES25 MG 50 MG AND 100 MG,ROXANE LABORATORIES INC.,ZONEGRAN CAPSULES,12/22/2005,
15,ZONISAMIDE CAPSULES100 MG,DR. REDDY'S LABORATORIES LIMITED,ZONEGRAN CAPSULES,12/22/2005,
16,ZONISAMIDE CAPSULES100 MG,WOCKHARDT LIMITED,ZONEGRAN CAPSULES,12/22/2005,
17,ZONISAMIDE CAPSULES 25 MG 50 MG AND 100 MG,MYLAN PHARMACEUTICALS INC.,ZONEGRAN CAPSULES,12/22/2005,
18,ZONISAMIDE CAPSULES25 MG50 MG AND100 MG,MUTUAL PHARMACEUTICAL COMPANY INC.,ZONEGRAN CAPSULES,12/22/2005,
19,CABERGOLINE TABLETS0.5 MG,PAR PHARMACEUTICAL INC.,DOSTINEX TABLETS,12/29/2005,
20,OXYCODONE AND ACETAMINOPHEN TABLETS USP 2.5 MG/300 MG 5 MG/300 MG 7.5 MG/300 MG AND 10 MG/300 MG,MIKART INC.,PERCOCET TABLETS,12/30/20,
